venue,city,country,format,matches,innings,runs,dismissals,not_outs,average,strike_rate,highest_score
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Unknown,OVERALL,4,4,52,1,3,52.00,192.59,28*
"Shere Bangla National Stadium, Mirpur",Dhaka,Pakistan,OVERALL,1,1,51,0,1,NA [Not Out],102.00,51*
"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,OVERALL,3,3,51,0,3,NA [Not Out],115.91,49*
Sector 16 Stadium,Chandigarh,India,OVERALL,1,1,50,0,1,NA [Not Out],142.86,50*
Stadium Australia,Sydney,Australia,OVERALL,1,1,48,0,1,NA [Not Out],111.63,48*
Bay Oval,Mount Maunganui,Unknown,OVERALL,1,1,48,0,1,NA [Not Out],145.45,48*
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,India,OVERALL,2,2,47,2,0,23.50,72.31,47
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Unknown,OVERALL,2,2,46,2,0,23.00,102.22,35
Kinrara Academy Oval,Kuala Lumpur,Unknown,OVERALL,4,3,43,3,0,14.33,75.44,23
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,OVERALL,2,1,43,1,0,43.00,172.00,43
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown,OVERALL,5,4,42,3,1,14.00,107.69,18*
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India,OVERALL,1,1,40,0,1,NA [Not Out],200.00,40*
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,OVERALL,4,3,40,1,2,40.00,210.53,26*
Nahar Singh Stadium,Faridabad,Unknown,OVERALL,1,1,38,1,0,38.00,69.09,38
"Kensington Oval, Bridgetown",Barbados,Barbados,OVERALL,3,4,38,4,0,9.50,71.70,29
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,OVERALL,3,3,38,2,1,19.00,172.73,25
Galle International Stadium,,Sri Lanka,OVERALL,1,2,37,2,0,18.50,71.15,33
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,OVERALL,1,1,37,0,1,NA [Not Out],231.25,37*
Riverside Ground,Chester-le-Street,England,OVERALL,1,1,33,1,0,33.00,91.67,33
Shaheed Veer Narayan Singh International Stadium,Raipur,Pakistan,OVERALL,1,1,27,1,0,27.00,112.50,27
Rajiv Gandhi International Stadium,Hyderabad,India,OVERALL,2,2,27,1,1,27.00,135.00,25*
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,OVERALL,1,1,27,1,0,27.00,225.00,27
Vidarbha Cricket Association Ground,Nagpur,India,OVERALL,1,1,26,1,0,26.00,89.66,26
County Ground,Bristol,England,OVERALL,2,1,21,1,0,21.00,116.67,21
"Arun Jaitley Stadium, Delhi",Delhi,India,OVERALL,4,2,21,1,1,21.00,100.00,16
"Eden Gardens, Kolkata",Kolkata,India,OVERALL,2,2,19,0,2,NA [Not Out],90.48,17*
